Exchange,Ticker,Company Name,Description,Website,Logo
CBOT,ZC,corn,"Corn is the most widely produced feed grain in the United States, accounting for more than 90 percent of total production. Around 80 million acres of land are planted with corn. The majority of the crop is used as livestock feed; the remainder is processed into a multitude of food and industrial products including starch, sweeteners such as high fructose corn syrup, corn oil, and ethanol for use as a fuel. As corn prices rise, agricultural companies stand to benefit as their corn or corn seeds command a higher price in the market. Companies who buy corn or derivative products such as high fructose corn syrup can be hit with much larger costs when corn prices rise",http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/corn_contractSpecs_options.html?optionProductId=2730#optionProductId=2730,http://agnews.dtn.com/images/E0010035/CBOTLogoFull-Medium.jpg
CBOT,ZO,oats,"Oats generally refers to seeds of the common oat plant, a cereal grain. Oats are consumed by humans in the form of oatmeal and rolled oats (as well as in dry cereal), however they are more commonly used as feed for livestock including cattle and poultry, as well as horses.",https://www.cmegroup.com/trading/agricultural/grain-and-oilseed/oats_contract_specifications.html?exchange=&sector=&clearingCode=C,http://agnews.dtn.com/images/E0010035/CBOTLogoFull-Medium.jpg
CBOT,ZS,soybeans,"The United States grows more soybeans than any other country in the world, accounting for 32% of the world's production. Its fields yield 2,585 million bushels of soybeans every year. [1] Farmers in the rest of the world are closing the gap, however, enticed by a continued rise in soybean prices. In 1980 the U.S. it produced 60 percent of the world's soybeans, but by 2005 it produced only 39%. [2].Despite increased world supply, the price of soybean futures has increased more than 80% in 2008 because of soybean oil's use in biodiesel and as feed for fish farming. Another factor in soybeans' rise is China's urbanization, as Chinese cities buy large quantities of tofu and other soy products. [3] [4] As soybean prices rise, agricultural companies benefit, while companies that use soybean products and derivatives face higher production costs.",https://www.cmegroup.com/trading/agricultural/grain-and-oilseed/soybean_contract_specifications.html?exchange=&sector=EQUITY+INDEX&clearingCode=70,http://agnews.dtn.com/images/E0010035/CBOTLogoFull-Medium.jpg
CBOT,ZW,wheat,"Wheat is a commodity input that goes into many food products, from pasta to bread to baked sweets. Wheat futures on Chicago's commodities exchange more than doubled in September 2007 compared to the previous year, going from $3.95 a bushel to nearly $9. What's driving up wheat prices is a matter of simple supply and demand, as bad weather, including a spate of hurricanes, have created shortages of this important grain.A more fundamental problem compounding the recent effects of bad weather is that farmers are increasingly switching to grow corn because of the skyrocketing demand for the ethanol-producing grain.",http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/kc-wheat_contract_specifications.html,http://agnews.dtn.com/images/E0010035/CBOTLogoFull-Medium.jpg
NYMEX,HG,copper,"Copper is a metal used extensively as a heat and electrical conductor, as well as a component in metal alloys, most notably brass and bronze. Annual world production is projected to 18.4 million metric tons in 2008.[1]Copper is used extensively for electrical wiring and plumbing in buildings. A good overview on the use of copper can be found on the webpage of the International Wrought Copper Council (IWCC).Copper is known to have antimicrobial properties. It is also an important nutrient. It is widely believed that copper jewelry can help wearer conquer diseases.",http://www.cmegroup.com/trading/metals/base/copper_contractSpecs_futures.html,https://upload.wikimedia.org/wikipedia/commons/4/4b/New_York_Mercantile_Exchange_logo.svg
NYMEX,GC,gold,"Gold is one of the most highly-sought after precious metals in the world. It is used in jewelry, electronics, and coinage. Gold is widely considered to be an effective hedge against inflation, which means that when the dollar depreciates, demand for gold increases. In addition, during times of economic and political uncertainty, the demand for Gold rises due to its high intrinsic value and relative stability. Moreover, the introduction of gold ETFs and the increasing wealth in emerging markets, such as China, India, and Latin America have contributed to rising demand for gold. While demand for gold has been rising, supply has been dropping as many of the top gold producing countries have had decreasing production over the past few years.Gold has been used as money for more than 3,500 years as it doubles as a currency and a store of value. Gold is one of very few assets that is not the obligation of someone else. It has also proven to be a good hedge as inflation since the experiments with unbacked fiat money began in Europe and the USA in the 18th century",http://www.cmegroup.com/trading/metals/precious/gold_contractSpecs_futures.html,https://upload.wikimedia.org/wikipedia/commons/4/4b/New_York_Mercantile_Exchange_logo.svg
NYMEX,PL,platinum,"Platinum is an exceedingly rare, silvery-white precious metal used in jewelry making, electronics components and various industrial applications. About half of all global platinum consumption is for the manufacture of automobile catalytic converters. [1]Platinum is exceedingly rare (about 30 times rarer than gold) and found in only a few deposits worldwide. The largest known primary reserves are in South Africa's Bushweld complex, followed by deposits near Norilsk, Russia and the Sudbury Basin, Canada.",http://www.cmegroup.com/trading/metals/precious/gold-platinum_contractSpecs_futures.html,https://upload.wikimedia.org/wikipedia/commons/4/4b/New_York_Mercantile_Exchange_logo.svg
NYMEX,SI,silver,"Silver is a precious metal that is used in a wide array of industrial applications as well as in jewelry and photographic film. Industrial applications (for example computers, cell phones, TV, batteries, pharmaceuticals) made up about 54% of the world’s silver fabrication demand in 2007.[1] As a whole, demand for silver has been growing faster than annual production since 1990,[2]and silver inventory has dropped 98% from 1942 to 2004, 5.9 billion oz to 115 million oz, respectively.[3] Silver is even more scarce than gold as the above ground supply of silver was about 5x less than that of gold in 2006.[4] The effect of the falling supply of silver coupled with increasing demand from the US economic slowdown has lifted silver prices to their highest point since 1981 (2007 average silver price = $13.38 /oz).",http://www.cmegroup.com/trading/metals/precious/silver_contractSpecs_futures.html,https://upload.wikimedia.org/wikipedia/commons/4/4b/New_York_Mercantile_Exchange_logo.svg
ICE,RS,canola-futures,The canola futures contract is the world benchmark for canola trading. The contract prices physical delivery of canola seed free-on-board trucks or rail cars in the par delivery region in Central Saskatchewan,https://www.theice.com/products/251/Canola-Futures,http://www.logosurfer.com/sites/default/files/styles/large/public/IntercontinentalExchange.jpg?itok=7teLGy-F
CBOT,ZC,corn-futures,"Corn is among the most versatile and complex grains in the world, and corn production and distribution has changed the face of history. With 270 million metric tons of corn produced annually in the U.S. alone, corn could be considered the most important grain crop on the planet.",https://www.cmegroup.com/trading/agricultural/grain-and-oilseed/corn_contract_specifications.html?exchange=&sector=&clearingCode=YK,
CBOT,ZR,rice-futures,"rice is used to describe rice as it comes from the field after harvest. Whether birthed from Indian soil by Vishnu, carried to the Chinese on the tail of a dog or incarnated as the Emperor of Japan, rice is recognized as an integral part of the most populous countries in the world. Rice was first sown, harvested and distributed across Southeast Asia and Central Asia in the second millennium B.C., migrating to Europe in the eighth century A.D. and then to the Americas during the 16th and 17th centuries.Today, rice constitutes one of the top three staple foods of the world. Consumption in both China and India translates directly into weak exports. Only a small percentage of the total global production of rice is truly available for international trade, which leaves small rice-producing countries such as Thailand, Vietnam and the U.S. in the forefront as net rice exporters.",http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/rough-rice_contractSpecs_options.html?underlyingFutureContract=14X7&optionProductId=337&optionExpiration=337-N7&strikeRange=Active#optionProductId=337,
CBOT,BS,south-american-soybean-futures,soybean future is a soybeans bought or sold at an agreed price for delivery at a specified future date.,http://www.cmegroup.com/education/featured-reports/south-american-sdnc-soybean-options.html,
