Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
DORM,"Dorman Products, Inc.",69.26,2397334265.22,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dorm
EAGL,Double Eagle Acquisition Corp.,10,625000000,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/eagl
EAGLU,Double Eagle Acquisition Corp.,10.5,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/eaglu
EAGLW,Double Eagle Acquisition Corp.,0.5,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/eaglw
DRWI,DragonWave Inc,2.6,15870420.8,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/drwi
DRYS,DryShips Inc.,2.73,92291259.06,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/drys
DSPG,"DSP Group, Inc.",12.45,269199278.4,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/dspg
DLTH,Duluth Holdings Inc.,25.79,834970747.24,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dlth
DNKN,"Dunkin&#39; Brands Group, Inc.",51.83,4754606287.54,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dnkn
DRRX,DURECT Corporation,1.31,181541838.36,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/drrx
DXPE,"DXP Enterprises, Inc.",35.7,618911943.3,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dxpe
DYSL,Dynasil Corporation of America,1.27,21470956.55,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dysl
DYNT,Dynatronics Corporation,2.5,7205680,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/dynt
DVAX,Dynavax Technologies Corporation,4.3,165668938,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dvax
ETFC,E*TRADE Financial Corporation,36.46,9983195728.8,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/etfc
EBMT,"Eagle Bancorp Montana, Inc.",18.7,70675976.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ebmt
EGBN,"Eagle Bancorp, Inc.",58.85,1979284983.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/egbn
EGLE,Eagle Bulk Shipping Inc.,6.15,295856986.05,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/egle
EGRX,"Eagle Pharmaceuticals, Inc.",68.1,1053910696.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/egrx
ELNK,EarthLink Holdings Corp.,5.84,665760000,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/elnk
EWBC,"East West Bancorp, Inc.",50.22,7239923914.32,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ewbc
EACQ,Easterly Acquisition Corp.,9.85,246250000,n/a,n/a,Capital Goods,Building Products,http://www.nasdaq.com/symbol/eacq
EACQU,Easterly Acquisition Corp.,10.05,0,n/a,n/a,Capital Goods,Building Products,http://www.nasdaq.com/symbol/eacqu
EACQW,Easterly Acquisition Corp.,0.44,0,n/a,n/a,Capital Goods,Building Products,http://www.nasdaq.com/symbol/eacqw
EML,Eastern Company (The),20.9,130714598.3,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/eml
EVBS,"Eastern Virginia Bankshares, Inc.",10.12,132739992,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/evbs
EVGBC,Eaton Vance NextShares Trust,100.02,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evgbc
EVSTC,Eaton Vance NextShares Trust,100.01,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evstc
EVLMC,Eaton Vance NextShares Trust II,100.06,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evlmc
EBAY,eBay Inc.,30.75,34376238030,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ebay
EBAYL,eBay Inc.,25.96,0,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ebayl
EBIX,"Ebix, Inc.",57.95,1878452553.15,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ebix
ELON,Echelon Corporation,4.9,21715364.3,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/elon
ECHO,"Echo Global Logistics, Inc.",24.7,721890622.7,n/a,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/echo
SATS,EchoStar Corporation,50.93,4792538057.56,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sats
EEI,"Ecology and Environment, Inc.",10.45,44873365.9,n/a,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/eei
ECAC,E-compass Acquisition Corp.,10.2504,54429624,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/ecac
ECACR,E-compass Acquisition Corp.,0.75,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/ecacr
ECACU,E-compass Acquisition Corp.,10.801,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/ecacu
ESES,"Eco-Stim Energy Solutions, Inc.",0.7501,10813986.9227,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/eses
EDAP,EDAP TMS S.A.,3.51,102042874.44,29072044,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/edap
EDGE,"Edge Therapeutics, Inc.",12.38,357997647.22,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/edge
EDGW,"Edgewater Technology, Inc.",7.25,93329308,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/edgw
EDIT,"Editas Medicine, Inc.",18.39,674102663.04,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/edit
EDUC,Educational Development Corporation,9.75,39790452,n/a,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/educ
EFUT,eFuture Holding Inc.,6.37,33528272.05,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/efut
EGAN,eGain Corporation,2,54207742,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/egan
EGLT,Egalet Corporation,8.38,211084867.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eglt
EHTH,"eHealth, Inc.",11.63,213312005.53,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/ehth
EIGR,"Eiger BioPharmaceuticals, Inc.",11.7,97772910.3,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/eigr
EKSO,"Ekso Bionics Holdings, Inc.",4.37,95619790.83,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ekso
LOCO,"El Pollo Loco Holdings, Inc.",12.35,475151084.2,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/loco
EMITF,Elbit Imaging Ltd.,3.33,30605390.64,n/a,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/emitf
ESLT,Elbit Systems Ltd.,102.61,4386092462.53,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/eslt
ERI,"Eldorado Resorts, Inc.",16.1,758402478.4,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/eri
ESIO,"Electro Scientific Industries, Inc.",6.03,195758625.51,n/a,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esio
EA,Electronic Arts Inc.,78.64,23730053227.76,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ea
EFII,"Electronics for Imaging, Inc.",44.49,2080693504.83,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/efii
ELSE,"Electro-Sensors, Inc.",3.54,12020144.34,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/else
ELEC,Electrum Special Acquisition Corporation,9.92,248000000,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/elec
ELECU,Electrum Special Acquisition Corporation,10.2997,257492500,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/elecu
ELECW,Electrum Special Acquisition Corporation,0.4493,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/elecw
EBIO,"Eleven Biotherapeutics, Inc.",2.35,56960167.15,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ebio
DWAC,Elkhorn Commodity Rotation Strategy ETF,24.56,7368049.12,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwac
CAPX,Elkhorn S&P 500 Capital Expenditures Portfolio,26.28,2733120,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/capx
ESBK,Elmira Savings Bank NY (The),21.1427,57191003.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/esbk
ELTK,Eltek Ltd.,0.84,8519920.08,n/a,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/eltk
EMCI,EMC Insurance Group Inc.,30.49,643449800.66,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/emci
EMCF,Emclaire Financial Corp,27,57950316,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/emcf
EMKR,EMCORE Corporation,8.6,225707971.8,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/emkr
EMMS,Emmis Communications Corporation,3.33,41279579.1,n/a,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/emms
NYNY,"Empire Resorts, Inc.",22.75,708416959.25,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/nyny
ERS,"Empire Resources, Inc.",6.65,55880947.5,n/a,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/ers
ENTA,"Enanta Pharmaceuticals, Inc.",35.74,680451250.98,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/enta
ECPG,Encore Capital Group Inc,28.85,736604748.95,n/a,n/a,Finance,Finance Companies,http://www.nasdaq.com/symbol/ecpg
WIRE,Encore Wire Corporation,42.35,877697312.8,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/wire
ENDP,Endo International plc,16.41,3657427897.95,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/endp
ECYT,"Endocyte, Inc.",2.61,110319660.09,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ecyt
ELGX,"Endologix, Inc.",6.02,497800301.6,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/elgx
EIGI,"Endurance International Group Holdings, Inc.",8.3,1174549442.3,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/eigi
WATT,Energous Corporation,17.06,326373017.52,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/watt
EFOI,"Energy Focus, Inc.",5.09,59502252.7,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/efoi
ERII,"Energy Recovery, Inc.",10.33,540794972.05,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/erii
ENOC,"EnerNOC, Inc.",6,185439660,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/enoc
ENG,ENGlobal Corporation,2.61,71417437.83,n/a,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/eng
ENPH,"Enphase Energy, Inc.",1.11,68719376.28,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/enph
ESGR,Enstar Group Limited,196.6,3805764712.8,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/esgr
ENFC,Entegra Financial Corp.,20.575,132540179.025,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/enfc
ENTG,"Entegris, Inc.",18.1,2558286978.2,n/a,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/entg
ENTL,"Entellus Medical, Inc.",19.07,359737147.45,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/entl
ETRM,EnteroMedics Inc.,17.7,35367255,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/etrm
EBTC,Enterprise Bancorp Inc,36.23,414801690.06,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ebtc
EFSC,Enterprise Financial Services Corporation,40.5,810461740.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/efsc
EGT,Entertainment Gaming Asia Incorporated,1.4,20249908,n/a,n/a,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/egt
ENZY          ,Enzymotec Ltd.,7.45,169251595.75,n/a,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/enzy
EPZM,"Epizyme, Inc.",11.95,693235847.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epzm
PLUS,ePlus inc.,113.6,804362408,n/a,n/a,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/plus
EQIX,"Equinix, Inc.",373.19,26638039847.43,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqix
EQFN,Equitable Financial Corp.,10,34771570,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/eqfn
EQBK,"Equity Bancshares, Inc.",32.51,379695831.05,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/eqbk
ERIC,Ericsson,5.87,1831986755.28,312093144,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/eric
ERIE,Erie Indemnity Company,111.31,5820385207.08,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/erie
ESCA,"Escalade, Incorporated",13,185925467,n/a,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/esca
ESPR,"Esperion Therapeutics, Inc.",13.84,312145297.84,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/espr
ESSA,"ESSA Bancorp, Inc.",15.9,181386150.6,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/essa
EPIX,ESSA Pharma Inc.,2.05,59648622.45,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epix
ESND,Essendant Inc.,20.14,744543737.12,n/a,n/a,Consumer Services,Paper,http://www.nasdaq.com/symbol/esnd
ETSY,"Etsy, Inc.",12.35,1427274704.7,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/etsy
CLWT,Euro Tech Holdings Company Limited,3.65,7525967.85,n/a,n/a,Consumer Durables,Diversified Electronic Products,http://www.nasdaq.com/symbol/clwt
EEFT,"Euronet Worldwide, Inc.",73.915,3858817207.675,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/eeft
ESEA,Euroseas Ltd.,1.72,15785884.8,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/esea
EVEP,"EV Energy Partners, L.P.",2.03,99582084.42,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/evep
EVBG,"Everbridge, Inc.",18.65,506310983.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evbg
EVK,"Ever-Glory International Group, Inc.",2.25,33272865,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/evk
MRAM,"Everspin Technologies, Inc.",7.9999,99983774.1872,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/mram
EVLV,EVINE Live Inc.,1.38,88558015.5,n/a,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/evlv
EVGN,Evogene Ltd.,5.15,131118016.35,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/evgn
EVOK,"Evoke Pharma, Inc.",2.65,32728454,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/evok
EVOL,"Evolving Systems, Inc.",4.25,50606411.75,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/evol
EXA,Exa Corporation,16.02,237921046.02,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/exa
EXAS,Exact Sciences Corporation,17.98,1949216816.42,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exas
EXAC,"Exactech, Inc.",28.15,399304287.55,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/exac
EXEL,"Exelixis, Inc.",17.58,5035895020.86,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exel
EXFO,EXFO Inc,4.7,107157100.1,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/exfo
EXLS,"ExlService Holdings, Inc.",50.06,1677370982.66,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/exls
EXPE,"Expedia, Inc.",117.3,17598506331.6,n/a,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/expe
EXPD,"Expeditors International of Washington, Inc.",53.04,9567071382.96,n/a,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/expd
EXPO,"Exponent, Inc.",58.5,1497163239,n/a,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/expo
ESRX,Express Scripts Holding Company,71.56,44125398760,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/esrx
XOG,"Extraction Oil & Gas, Inc.",19.06,3275167571.3,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/xog
EXTR,"Extreme Networks, Inc.",5.37,574881322.5,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/extr
EYEG,"Eyegate Pharmaceuticals, Inc.",1.62,15529130.46,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eyeg
EYEGW,"Eyegate Pharmaceuticals, Inc.",0.3,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eyegw
EZPW,"EZCORP, Inc.",10.35,559715021.1,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/ezpw
FFIV,"F5 Networks, Inc.",144.15,9415302409.05,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ffiv
FB,"Facebook, Inc.",124.9,359982718002.2,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fb
FRP,"FairPoint Communications, Inc.",18.25,494094587,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/frp
FALC,"FalconStor Software, Inc.",0.4401,19210774.293,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/falc
DAVE,"Famous Dave&#39;s of America, Inc.",5.2,36179665.6,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dave
FANH,Fanhua Inc.,8.73,315829086.12,36177444,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/fanh
FARM,Farmer Brothers Company,33.65,565103327.65,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/farm
FFKT,Farmers Capital Bank Corporation,41.3,310063054,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffkt
FMNB,Farmers National Banc Corp.,14,378667296,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmnb
FARO,"FARO Technologies, Inc.",37.95,632792493.3,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/faro
FAST,Fastenal Company,46.17,13344610856.58,n/a,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/fast
FATE,"Fate Therapeutics, Inc.",2.83,96639275.82,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/fate
FBSS,"Fauquier Bankshares, Inc.",16.8018,63065321.0748,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fbss
FBRC,FBR & Co,13.6,94052880.8,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/fbrc
FDML,Federal-Mogul Holdings Corporation,9.97,1685335290.47,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/fdml
FNHC,Federated National Holding Company,19.53,269548314.21,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/fnhc
FHCO,Female Health Company (The),1.03,27716317.38,n/a,n/a,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/fhco
FENX,"Fenix Parts, Inc.",2.82,56278765.38,n/a,n/a,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/fenx
GSM,Ferroglobe PLC,9.54,1639335979.62,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/gsm
FCSC,Fibrocell Science Inc,0.855,37601468.73,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fcsc
FGEN,"FibroGen, Inc",23.8,1503210618,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fgen
ONEQ,Fidelity Nasdaq Composite Index Tracking Stock,218.21,720093000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/oneq
LION,Fidelity Southern Corporation,23.17,605651682.09,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lion
FDUS,Fidus Investment Corporation,16.11,361386366.75,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fdus
FRGI,"Fiesta Restaurant Group, Inc.",27.8,747531908.6,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/frgi
FSAM,Fifth Street Asset Management Inc.,6.45,319012020.6,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/fsam
FSC,Fifth Street Finance Corp.,5.64,807979547.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fsc
FSCFL,Fifth Street Finance Corp.,24.98,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fscfl
FSFR,Fifth Street Senior Floating Rate Corp.,9.11,268442256.48,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fsfr
FITB,Fifth Third Bancorp,26.76,20184953146.08,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fitb
FITBI,Fifth Third Bancorp,27.69,498420000,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fitbi
FNGN,"Financial Engines, Inc.",37.1,2296821599.8,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/fngn
FISI,"Financial Institutions, Inc.",32.7,475056411.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fisi
FNSR,Finisar Corporation,28.6,3165848428.6,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/fnsr
FNJN,"Finjan Holdings, Inc.",1.45,33206538.45,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/fnjn
FEYE,"FireEye, Inc.",12.69,2171237185.89,n/a,n/a,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/feye
FBNC,First Bancorp,26.98,560867200.84,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fbnc
FNLC,"First Bancorp, Inc (ME)",30.08,324613373.44,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fnlc
FRBA,First Bank,12.1,95432276.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/frba
BUSE,First Busey Corporation,30.3,1157677857,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/buse
FBIZ,"First Business Financial Services, Inc.",23.56,205130794.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fbiz
FCAP,"First Capital, Inc.",32.34,107936431.68,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fcap
FCFS,"First Cash, Inc.",46.8,2270143652.4,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/fcfs
FCNCA,"First Citizens BancShares, Inc.",347.92,4178660107.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcnca
FCBC,"First Community Bancshares, Inc.",29.29,497619028.07,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcbc
FCCO,First Community Corporation,17.7,118648710.9,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcco
FCFP,"First Community Financial Partners, Inc.",11.05,190478187.25,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcfp
FBNK,"First Connecticut Bancorp, Inc.",22,347803456,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/fbnk
FDEF,First Defiance Financial Corp.,48.59,436388004.75,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fdef
FFBC,First Financial Bancorp.,27.7,1716176241.7,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffbc
FFBCW,First Financial Bancorp.,17.8,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffbcw
FFIN,"First Financial Bankshares, Inc.",43.65,2883662390.25,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffin
THFF,First Financial Corporation Indiana,50.45,614770431.65,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/thff
FFNW,"First Financial Northwest, Inc.",19.12,209008960.72,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffnw
FFWM,First Foundation Inc.,28.27,461582891.66,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffwm
FGBI,"First Guaranty Bancshares, Inc.",23.18,176381116.92,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fgbi
FHB,"First Hawaiian, Inc.",33.96,4738461009.84,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fhb
INBK,First Internet Bancorp,29.6,191750280,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/inbk
INBKL,First Internet Bancorp,24.683,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/inbkl
FIBK,"First Interstate BancSystem, Inc.",41.25,1851299917.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fibk
FRME,First Merchants Corporation,36.49,1489052465.62,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/frme
FMBH,"First Mid-Illinois Bancshares, Inc.",32.71,407483582.02,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmbh
FMBI,"First Midwest Bancorp, Inc.",24.93,2027453789.52,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmbi
