3M,NYSE,MMM,Conglomerate
American Express,NYSE,AXP,Consumer finance
Apple,NASDAQ,AAPL,Consumer electronics
Boeing,NYSE,BA,"Aerospace,defense"
Caterpillar,NYSE,CAT,"Construction,Mining equipment"
Chevron,NYSE,CVX,Oil & gas
Cisco Systems,NASDAQ,CSCO,Computer networking
Coca-Cola,NYSE,KO,Beverages
DuPont,NYSE,DD,Chemical industry
ExxonMobil,NYSE,XOM,Oil & gas
General Electric,NYSE,GE,Conglomerate
Goldman Sachs,NYSE,GS,"Banking,Financial services"
The Home Depot,NYSE,HD,Home improvement retailer
IBM,NYSE,IBM,"Computers,technology"
Intel,NASDAQ,INTC,Semiconductors
Johnson & Johnson,NYSE,JNJ,Pharmaceuticals
JPMorgan Chase,NYSE,JPM,Banking
McDonald's,NYSE,MCD,Fast food
Merck,NYSE,MRK,Pharmaceuticals
Microsoft,NASDAQ,MSFT,Software
Nike,NYSE,NKE,Apparel
Pfizer,NYSE,PFE,Pharmaceuticals
Procter & Gamble,NYSE,PG,Consumer goods
Travelers,NYSE,TRV,Insurance
UnitedHealth Group,NYSE,UNH,Managed health care
United Technologies,NYSE,UTX,Conglomerate
Verizon,NYSE,VZ,Telecommunication
Visa,NYSE,V,Consumer banking
Wal-Mart,NYSE,WMT,Retail
Walt Disney,NYSE,DIS,"Broadcasting,Entertainment"
